Product,Price,Amound Sold
Astra Normal,1,20
Astra Radler,1,47
Cola,1,31
Fanta,1,21
Früh Kölsch,1,55
Gaffel Kölsch,1,57
Mönchshof Hell,1,68
Mönchshof Kellerbier,1,20
Mexikaner,1,161
Moscow Mule,3,67
Non Alcoholic Beer,1,8
Pizza Bread,1,168
Red Dry,2,8
SevenUp,1,12
Tequila Sunrise,3,86
White Half-dry,2,9
White Sweet,2,8
Total,1177,846
